League Position,Squad,MP,W,D,L,GF,GA,GDiff,Pts,xG,xGA,xGDiff,xGDiff/90,Last 5,Top Team Scorer,Goalkeeper
1,Liverpool,17,9,6,2,37,21,16,33,33.1,20,13.1,0.77,W W D D L,Mohamed Salah - 13,Alisson
2,Manchester Utd,16,10,3,3,33,24,9,33,27.2,21.4,5.8,0.36,W W D W W,Bruno Fernandes - 11,David de Gea
3,Leicester City,17,10,2,5,31,21,10,32,25.2,20,5.2,0.3,L W D D W,Jamie Vardy - 11,Kasper Schmeichel
4,Tottenham,16,8,5,3,29,15,14,29,22.8,17.7,5.1,0.32,D L L D W,Son Heung-min - 12,Hugo Lloris
5,Manchester City,15,8,5,2,24,13,11,29,25.5,13.1,12.3,0.82,D D W W W,Riyad Mahrez Raheem Sterling - 4,Ederson
6,Southampton,17,8,5,4,26,19,7,29,16.5,19.8,-3.4,-0.2,D L D D W,Danny Ings - 7,Alex McCarthy
7,Everton,16,9,2,5,26,20,6,29,21,20.2,0.8,0.05,W W W W L,Dominic Calvert-Lewin - 11,Jordan Pickford
8,Aston Villa,15,8,2,5,29,16,13,26,27.3,17.6,9.7,0.64,D W W D L,Ollie Watkins - 6,Emiliano Martínez
9,Chelsea,17,7,5,5,32,21,11,26,28.3,18.7,9.6,0.57,L W L D L,Tammy Abraham - 6,Edouard Mendy
10,West Ham,17,7,5,5,24,21,3,26,21.6,21.5,0.1,0,D L D D W,Tomáš Souček - 5,Łukasz Fabiański
11,Arsenal,17,7,2,8,20,19,1,23,22.2,20.6,1.6,0.09,D L W W W,Alexandre Lacazette - 7,Bernd Leno
12,Leeds United,17,7,2,8,30,33,-3,23,29.3,31.3,-2,-0.12,W L W W L,Patrick Bamford - 10,Illan Meslier
13,Wolves,17,6,4,7,18,24,-6,22,16.7,20.6,-3.9,-0.23,W L D L D,Raúl Jiménez Pedro Neto - 4,Rui Patrício
14,Crystal Palace,17,6,4,7,22,29,-7,22,16.2,23.9,-7.7,-0.45,D L L D W,Wilfried Zaha - 8,Vicente Guaita
15,Newcastle Utd,16,5,4,7,18,26,-8,19,15,21.5,-6.5,-0.41,L D L D L,Callum Wilson - 8,Karl Darlow
16,Burnley,15,4,4,7,9,20,-11,16,13.2,21.3,-8.1,-0.54,W D W L W,Chris Wood - 3,Nick Pope
17,Brighton,17,2,8,7,21,28,-7,14,23.6,18.2,5.4,0.32,D D D L D,Neal Maupay - 6,Mathew Ryan
18,Fulham,15,2,5,8,13,23,-10,11,16.6,21.8,-5.2,-0.35,L D D D D,Bobby Reid - 4,Alphonse Areola
19,West Brom,17,1,5,11,11,39,-28,8,9.9,32,-22.1,-1.3,D L D L L,Conor Gallagher Callum Robinson - 2,Sam Johnstone
20,Sheffield Utd,17,0,2,15,8,29,-21,2,15.8,25.5,-9.7,-0.57,L D L L L,David McGoldrick - 4,Aaron Ramsdale
