Squad,Number of Players,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Average Distance of Shot,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Season
vs Arsenal,25,17,16,204,57,27.9,12.0,3.35,0.08,0.28,17.4,4,0,1,20.6,19.9,0.1,-4.6,-3.9,2020/2021
vs Aston Villa,19,15,16,177,66,37.3,11.8,4.4,0.08,0.23,16.8,10,1,2,17.6,16.1,0.09,-1.6,-1.1,2020/2021
vs Brighton,23,17,26,145,49,33.8,8.53,2.88,0.14,0.41,17.5,3,6,6,18.2,13.7,0.1,7.8,6.3,2020/2021
vs Burnley,21,15,19,203,69,34.0,13.53,4.6,0.08,0.23,16.9,4,3,3,21.3,19.1,0.1,-2.3,-3.1,2020/2021
vs Chelsea,27,17,21,171,50,29.2,10.06,2.94,0.11,0.38,18.0,5,2,2,18.7,17.1,0.1,2.3,1.9,2020/2021
vs Crystal Palace,21,17,29,221,76,34.4,13.0,4.47,0.12,0.34,17.0,14,3,4,23.9,20.9,0.1,5.1,5.1,2020/2021
vs Everton,25,16,20,192,63,32.8,12.0,3.94,0.09,0.29,17.0,9,2,3,20.2,18.7,0.1,-0.2,-0.7,2020/2021
vs Fulham,24,15,23,171,74,43.3,11.4,4.93,0.11,0.24,16.8,12,5,5,21.8,18.0,0.11,1.2,0.0,2020/2021
vs Leeds United,20,17,32,246,90,36.6,14.47,5.29,0.11,0.29,16.3,7,6,6,31.3,26.8,0.11,0.7,-0.8,2020/2021
vs Leicester City,24,17,20,182,69,37.9,10.71,4.06,0.1,0.28,15.5,9,1,1,20.0,19.3,0.11,0.0,-0.3,2020/2021
vs Liverpool,26,17,21,137,57,41.6,8.06,3.35,0.14,0.33,17.9,4,2,5,20.0,16.2,0.12,1.0,2.8,2020/2021
vs Manchester City,23,15,12,117,34,29.1,7.8,2.27,0.07,0.24,17.7,5,4,4,13.1,10.1,0.09,-1.1,-2.1,2020/2021
vs Manchester Utd,24,16,22,186,58,31.2,11.62,3.62,0.1,0.31,16.4,7,4,4,21.4,18.4,0.1,0.6,-0.4,2020/2021
vs Newcastle Utd,24,16,24,241,82,34.0,15.06,5.12,0.1,0.28,17.3,5,1,2,21.5,20.0,0.08,2.5,3.0,2020/2021
vs Sheffield Utd,24,17,29,238,89,37.4,14.0,5.24,0.12,0.33,16.4,9,0,1,25.5,24.8,0.11,3.5,4.2,2020/2021
vs Southampton,22,17,19,173,64,37.0,10.18,3.76,0.1,0.27,15.7,5,2,2,19.8,18.4,0.11,-0.8,-1.4,2020/2021
vs Tottenham,22,16,13,204,62,30.4,12.75,3.87,0.04,0.15,16.9,7,4,4,17.7,14.7,0.07,-4.7,-5.7,2020/2021
vs West Brom,25,17,36,274,105,38.3,16.12,6.18,0.12,0.3,16.5,12,4,4,32.0,29.0,0.11,4.0,3.0,2020/2021
vs West Ham,23,17,21,183,67,36.6,10.76,3.94,0.1,0.28,17.5,7,2,4,21.5,18.5,0.1,-0.5,0.5,2020/2021
vs Wolves,21,17,22,179,52,29.1,10.53,3.06,0.1,0.35,16.3,13,4,5,20.6,16.8,0.1,1.4,1.2,2020/2021
